153,60,257,60,257,111,153,111,Coe 2
298,66,448,66,448,116,298,116,96 t~
460,72,522,72,522,98,460,98,0JLe
545,69,693,69,693,107,545,107,~ulpu
704,56,910,56,910,113,704,113,Prdvctov >
928,54,1093,54,1093,108,928,108,0 a, st
296,187,647,187,647,249,296,249,A = A a | Acz |
755,194,832,194,832,235,755,235,Acn
861,185,1119,185,1119,246,861,246,A,| Pz | , Pn
352,366,970,366,970,453,352,453,A _ AA' IA' [  |p-4'
502,488,944,488,944,579,502,579,x4la'  kh" | e
82,664,558,664,558,716,82,716,ji) Jndiseet Wnt Su cusim
290,780,496,780,496,830,290,830,As Sa
279,865,510,865,510,922,279,922,< _ A b
362,968,418,968,418,1028,362,1028,L
354,1080,398,1080,398,1104,354,1104,3
409,1063,511,1063,511,1107,409,1107,Abo
194,1210,260,1210,260,1240,194,1240,Ce
277,1203,439,1203,439,1247,277,1247,md +
450,1214,600,1214,600,1242,450,1242,nen0+
615,1196,802,1196,802,1251,615,1251,Ubt &c)
205,1293,311,1293,311,1333,205,1333,doum
343,1297,491,1297,491,1339,343,1339,Pcaexs
516,1290,647,1290,647,1327,516,1327,(pnc?
663,1285,809,1285,809,1325,663,1325,nandu
824,1288,993,1288,993,1337,824,1337,Wt tue
1012,1298,1050,1298,1050,1326,1012,1326,6Y
1083,1297,1301,1297,1301,1341,1083,1341,dronnml
138,1378,300,1378,300,1434,138,1434,tffae < .
34,1550,66,1550,66,1574,34,1574,43
64,1538,211,1538,211,1593,64,1593,Advon"
350,1538,424,1538,424,1592,350,1592,ct
432,1550,500,1550,500,1582,432,1582,Mc
516,1550,662,1550,662,1578,516,1578,numnc 4
129,1670,476,1670,476,1722,129,1722,abl_ + &errott
608,1668,745,1668,745,1711,608,1711,Ses _
768,1663,944,1663,944,1739,768,1739,andvea
949,1667,1141,1667,1141,1711,949,1711,cer cljer
1150,1670,1228,1670,1228,1696,1150,1696,Tenn
1326,1654,1465,1654,1465,1703,1326,1703,tt rec _
79,1795,215,1795,215,1835,79,1835,Das ede
200,1791,369,1791,369,1858,200,1858,ontoJe
168,1908,391,1908,391,1964,168,1964,Tha Proulv>
531,1909,722,1909,722,1960,531,1960,eliminiclu
741,1919,851,1919,851,1957,741,1957,drlt
868,1912,1104,1912,1104,1966,868,1966,6 acc bet
1119,1919,1191,1919,1191,1955,1119,1955,nut
1210,1903,1506,1903,1506,1956,1210,1956,indinct lltnc.
384,513,475,527,468,564,377,550,' _
104,1191,189,1213,177,1251,92,1230,u
1318,1268,1461,1289,1450,1348,1307,1327,rornd
120,1290,200,1303,192,1342,112,1329,+oy
200,1541,290,1554,281,1603,192,1591,+d
1228,1646,1325,1668,1312,1718,1215,1696,mxj
423,1906,524,1926,514,1966,413,1946,cew
