58,34,88,34,88,72,58,72,3
125,33,251,33,251,75,125,75,Bottom
263,47,319,47,319,83,263,83,up
223,117,340,117,343,161,223,161,Builds
441,131,557,131,557,171,441,171,parse
574,130,648,130,648,162,574,162,tree
678,120,730,120,730,168,678,168,by
877,121,930,120,932,158,877,157,at
1007,120,1109,120,1109,156,1007,156,leaves
1130,107,1216,108,1218,163,1132,161,and
246,195,367,195,367,231,246,231,roots.
40,312,152,312,152,366,40,366,Error
348,326,388,326,388,352,348,352,in
398,321,539,321,539,377,398,377,syntax
53,453,160,453,160,495,53,495,When
170,460,234,460,234,492,170,492,the
258,464,412,464,412,494,258,494,stream
445,461,621,461,621,501,445,501,of
797,453,891,453,891,495,797,495,from
910,452,1041,452,1044,499,911,498,lexical
1252,450,1418,451,1421,504,1252,504,disobeys
55,539,251,539,251,579,55,579,gramatical
266,542,350,542,350,574,266,574,rule
365,539,409,539,409,583,365,583,of
424,542,456,542,456,572,424,572,a
464,533,661,534,661,596,464,596,language
702,541,886,541,886,591,702,591,synctactic
908,548,996,548,996,574,908,574,error
1014,544,1142,544,1142,570,1014,570,occurs
62,658,132,658,132,690,62,690,The
130,652,298,657,307,718,130,703,following
314,658,513,658,513,710,314,710,techniques
526,664,614,664,614,692,526,692,are
623,656,791,656,791,692,623,692,utilized
795,647,854,651,857,709,795,707,by
1240,654,1282,654,1282,680,1240,680,to
1286,640,1413,640,1413,681,1286,681,handle
62,750,168,750,168,780,62,780,errors
92,862,118,862,118,892,92,892,1
86,966,114,966,114,1000,86,1000,2 _
299,958,389,959,394,1015,299,1014,from
674,982,776,982,776,1010,674,1010,errors
88,1076,120,1076,120,1112,88,1112,3
151,1077,289,1077,289,1115,151,1115,Aim
316,1086,386,1086,386,1116,316,1116,not
546,1082,658,1082,658,1130,546,1130,down
680,1094,746,1094,746,1124,680,1124,the
765,1087,962,1087,962,1151,765,1151,processing
1025,1087,1087,1087,1100,1129,1025,1127,the
1349,1087,1526,1087,1526,1136,1349,1136,program
23,1190,136,1190,136,1250,23,1250,Error
51,1347,95,1347,95,1387,51,1387,1 .
116,1342,242,1342,242,1392,116,1392,Panic
265,1351,383,1351,383,1395,265,1395,Mode
187,1465,274,1465,274,1509,187,1509,The
320,1466,457,1466,453,1518,320,1518,parser
756,1470,802,1469,802,1519,756,1518,i/p
982,1480,1054,1480,1054,1508,982,1508,one
1076,1478,1132,1478,1132,1508,1076,1508,at
1143,1481,1179,1481,1179,1501,1143,1501,a
1183,1471,1295,1471,1295,1507,1183,1507,time
1318,1465,1425,1465,1425,1503,1318,1503,until
256,1562,338,1562,338,1594,256,1594,one
449,1563,527,1563,527,1601,449,1601,the
549,1561,766,1561,766,1618,549,1618,designated
788,1568,867,1566,870,1619,788,1620,set
1195,1565,1317,1569,1318,1617,1195,1614,tokens
258,1639,403,1639,403,1700,258,1700,found.
177,1755,224,1756,219,1816,177,1818,A
587,1761,649,1761,649,1803,587,1803,for
663,1765,748,1766,749,1801,663,1803,this
873,1767,1009,1767,1009,1805,873,1805,is
1028,1759,1072,1761,1071,1814,1028,1815,it
198,1847,307,1847,307,1885,198,1885,when
325,1839,493,1839,493,1899,325,1899,multiple
509,1857,600,1857,600,1885,509,1885,errors
620,1856,696,1856,696,1882,620,1882,are
718,1849,851,1849,851,1903,718,1903,present
872,1852,920,1852,920,1884,872,1884,in
930,1856,964,1856,964,1882,930,1882,a
974,1846,1078,1846,1085,1898,974,1896,single
159,1963,209,1963,209,2005,159,2005,It
218,1970,256,1970,256,2002,218,2002,is
266,1976,296,1976,296,2000,266,2000,a
314,1966,437,1967,436,2016,314,2014,simple
625,1973,709,1973,709,2011,625,2011,that
725,1973,805,1973,805,2011,725,2011,does
820,1980,890,1980,890,2006,820,2006,not
926,1978,986,1978,986,2026,926,2026,go
998,1978,1072,1978,1072,2008,998,2008,into
1096,1969,1241,1969,1241,2022,1096,2022,infinite
1423,115,1485,123,1481,149,1418,141,the
738,111,875,130,866,174,730,155,starting
552,315,711,321,707,366,548,363,Analysis
168,312,332,332,324,375,160,355,Handling
650,449,783,468,774,514,641,495,coming
141,849,277,868,267,922,130,903,Report
287,862,407,877,400,914,281,899,errors
143,956,285,982,275,1024,133,999,Recover
398,1071,536,1100,525,1142,387,1114,slowing
163,1202,348,1223,340,1266,156,1244,Recovery
372,1198,586,1221,589,1277,363,1247,Stratergy
404,1340,602,1363,601,1416,395,1386,Stratergy
1255,1970,1339,1982,1331,2020,1248,2008,loops
351,123,350,158,419,161,419,124,the
935,122,995,122,995,157,935,157,the
1224,116,1359,116,1359,166,1224,166,ending
1370,113,1419,113,1419,148,1370,148,at
1046,454,1239,454,1239,504,1046,504,analyzers
1423,450,1483,450,1483,487,1423,487,the
863,655,1008,655,1008,698,863,698,syntax
1013,651,1201,651,1201,703,1013,703,analyzers
396,974,466,974,466,1012,396,1012,the
479,971,662,971,662,1013,479,1013,discovered
985,1092,1021,1092,1021,1133,987,1136,of
1104,1089,1342,1089,1342,1144,1104,1144,remaining
461,1460,649,1460,649,1512,461,1512,discards
653,1469,730,1469,730,1512,653,1512,the
808,1473,955,1473,955,1516,808,1516,symbol
369,1559,424,1559,424,1610,369,1610,of
873,1564,910,1564,910,1622,873,1622,of
924,1568,1186,1568,1186,1629,924,1629,synchronizing
1322,1568,1359,1568,1359,1613,1322,1613,is
215,1771,349,1771,349,1810,215,1810,major
357,1767,557,1767,557,1810,357,1810,drawback
756,1769,863,1769,863,1805,756,1805,mode
1080,1769,1162,1769,1162,1813,1080,1813,gives
1167,1761,1348,1761,1348,1804,1167,1804,inefficient
1353,1767,1479,1767,1479,1798,1353,1798,results
1091,1849,1281,1849,1281,1883,1091,1883,statement
443,1972,609,1972,609,2014,443,2014,approrach
